DATE,DEXUSEU
2016-12-30,1.0552
2017-01-02,1.0500
2017-01-03,1.0416
2017-01-04,1.0476
2017-01-05,1.0598
2017-01-06,1.0560
2017-01-09,1.0576
2017-01-10,1.0572
2017-01-11,1.0501
2017-01-12,1.0666
2017-01-13,1.0625
2017-01-16,1.0650
2017-01-17,1.0695
2017-01-18,1.0682
2017-01-19,1.0630
2017-01-20,1.0568
2017-01-23,1.0740
2017-01-24,1.0749
2017-01-25,1.0743
2017-01-26,1.0670
2017-01-27,1.0690
2017-01-30,1.0681
2017-01-31,1.0794
2017-02-01,1.0758
2017-02-02,1.0802
2017-02-03,1.0792
2017-02-06,1.0731
2017-02-07,1.0690
2017-02-08,1.0708
2017-02-09,1.0658
2017-02-10,1.0650
2017-02-13,1.0603
2017-02-14,1.0577
2017-02-15,1.0597
2017-02-16,1.0660
2017-02-17,1.0614
2017-02-20,1.0600
2017-02-21,1.0551
2017-02-22,1.0555
2017-02-23,1.0586
2017-02-24,1.0580
2017-02-27,1.0624
2017-02-28,1.0618
2017-03-01,1.0564
2017-03-02,1.0514
2017-03-03,1.0552
2017-03-06,1.0586
2017-03-07,1.0582
2017-03-08,1.0547
2017-03-09,1.0586
2017-03-10,1.0667
2017-03-13,1.0670
2017-03-14,1.0645
2017-03-15,1.0630
2017-03-16,1.0738
2017-03-17,1.0742
2017-03-20,1.0754
2017-03-21,1.0810
2017-03-22,1.0800
2017-03-23,1.0787
2017-03-24,1.0806
2017-03-27,1.0882
2017-03-28,1.0852
2017-03-29,1.0756
2017-03-30,1.0726
2017-03-31,1.0698
2017-04-03,1.0655
2017-04-04,1.0664
2017-04-05,1.0661
2017-04-06,1.0651
2017-04-07,1.0616
2017-04-10,1.0606
2017-04-11,1.0614
2017-04-12,1.0611
2017-04-13,1.0630
2017-04-14,1.0625
2017-04-17,1.0660
2017-04-18,1.0706
2017-04-19,1.0707
2017-04-20,1.0758
2017-04-21,1.0694
2017-04-24,1.0846
2017-04-25,1.0941
2017-04-26,1.0872
2017-04-27,1.0864
2017-04-28,1.0895
2017-05-01,1.0912
2017-05-02,1.0910
2017-05-03,1.0920
2017-05-04,1.0967
2017-05-05,1.0996
2017-05-08,1.0928
2017-05-09,1.0875
2017-05-10,1.0873
2017-05-11,1.0869
2017-05-12,1.0926
2017-05-15,1.0979
2017-05-16,1.1072
2017-05-17,1.1134
2017-05-18,1.1130
2017-05-19,1.1190
2017-05-22,1.1236
2017-05-23,1.1198
2017-05-24,1.1175
2017-05-25,1.1218
